#Activations    Cluster Size   Act/Size   i   j       MDMA          Enactogen     Psychedelic   Cannabinoid   Dissociative  Stimulant     Depressant    Other
      1289           164        7.86     15   8       1.00(0.01)    0.00(0.00)    0.00(0.00)    0.00(0.00)    0.00(0.00)    0.00(0.04)    0.00(0.00)    0.00(0.00) 
        70             5       14.00     19  22       0.00(0.00)    0.00(0.00)    0.00(0.00)    0.00(0.00)    0.00(0.00)    0.00(0.00)    0.00(0.00)    1.00(0.00) 
        60            16        3.75      1   3       0.00(0.01)    0.00(0.00)    0.00(0.00)    0.00(0.00)    0.00(0.00)    1.00(0.00)    0.00(0.00)    0.00(0.00) 
        35            13        2.69      1  27       0.00(0.01)    0.00(0.00)    1.00(0.00)    0.00(0.00)    0.00(0.00)    0.00(0.02)    0.00(0.00)    0.00(0.00) 
        19            12        1.58      1  16       0.00(0.00)    1.00(0.00)    0.00(0.00)    0.00(0.00)    0.00(0.00)    0.00(0.02)    0.00(0.00)    0.00(0.00) 
        15            18        0.83     12  28       0.00(0.00)    0.00(0.00)    0.00(0.00)    0.00(0.00)    0.00(0.00)    0.97(0.01)    0.00(0.00)    0.25(0.04) 
         6             9        0.67      6   4       0.67(0.03)    0.00(0.00)    0.00(0.00)    0.00(0.00)    0.00(0.00)    0.74(0.03)    0.00(0.00)    0.00(0.00) 
         5            11        0.45      8  20       0.99(0.01)    0.15(0.06)    0.00(0.00)    0.00(0.00)    0.00(0.00)    0.00(0.00)    0.00(0.00)    0.00(0.00) 
         3             7        0.43      6  16       0.89(0.01)    0.46(0.02)    0.00(0.00)    0.00(0.00)    0.00(0.00)    0.00(0.00)    0.00(0.00)    0.00(0.00) 
         2             3        0.67      1  10       0.00(0.00)    0.67(0.01)    0.00(0.00)    0.00(0.00)    0.00(0.00)    0.74(0.01)    0.00(0.00)    0.00(0.00) 
         1             1        1.00     19  29       0.80(0.00)    0.00(0.00)    0.00(0.00)    0.00(0.00)    0.00(0.00)    0.08(0.00)    0.00(0.00)    0.60(0.00) 
         1             1        1.00      7  11       0.00(0.00)    0.00(0.00)    0.82(0.00)    0.00(0.00)    0.00(0.00)    0.57(0.00)    0.00(0.00)    0.00(0.00) 
         1             1        1.00      3  13       0.00(0.00)    0.98(0.00)    0.00(0.00)    0.00(0.00)    0.00(0.00)    0.22(0.00)    0.00(0.00)    0.00(0.00) 
