#Activations    Cluster Size   Act/Size   i   j       MDMA          Enactogen     Psychedelic   Cannabinoid   Dissociative  Stimulant     Depressant    Other
       706            67       10.54      4  26       0.99(0.02)    0.00(0.00)    0.00(0.00)    0.00(0.00)    0.00(0.00)    0.03(0.09)    0.00(0.00)    0.00(0.02) # PURE MDMA
       291            52        5.60     17  15       0.01(0.04)    0.00(0.02)    0.00(0.00)    0.00(0.00)    0.00(0.01)    1.00(0.01)    0.00(0.00)    0.01(0.05) # PURE STIMULANT
       197            11       17.91      6   0       0.00(0.00)    1.00(0.02)    0.00(0.00)    0.00(0.00)    0.00(0.00)    0.01(0.08)    0.00(0.00)    0.00(0.00) # PURE ENACTOGEN
        89             8       11.12      1  11       0.00(0.00)    0.00(0.00)    0.00(0.00)    0.00(0.00)    0.00(0.00)    0.00(0.00)    0.00(0.00)    1.00(0.00) # PURE OTHER
        19            11        1.73     17  26       0.69(0.06)    0.00(0.00)    0.00(0.00)    0.00(0.00)    0.00(0.00)    0.72(0.06)    0.00(0.00)    0.00(0.00) # MDMA + STIMULANT
        18             4        4.50     16   0       0.00(0.00)    0.00(0.00)    0.00(0.00)    0.00(0.00)    0.00(0.00)    0.01(0.03)    1.00(0.00)    0.00(0.00) # PURE DEPRESSANT
         7             1        7.00     11  14       0.00(0.00)    0.00(0.00)    0.00(0.00)    0.00(0.00)    0.00(0.00)    0.89(0.00)    0.00(0.00)    0.45(0.00) # IMPURE STIMULANT
         6             1        6.00      9  22       0.00(0.00)    0.00(0.00)    0.00(0.00)    0.00(0.00)    1.00(0.00)    0.00(0.00)    0.00(0.00)    0.00(0.00) # PURE DISSOCIATIVE
         4             2        2.00      0   5       0.79(0.00)    0.62(0.00)    0.00(0.00)    0.00(0.00)    0.00(0.00)    0.00(0.00)    0.00(0.00)    0.01(0.00) # MDMA + ENACTOGEN
         3             1        3.00      0   0       0.00(0.00)    0.68(0.00)    0.00(0.00)    0.00(0.00)    0.00(0.00)    0.73(0.00)    0.00(0.00)    0.00(0.00) # ENACTOGEN + STIMULANT
         2             1        2.00     19  29       0.35(0.00)    0.03(0.00)    0.00(0.00)    0.00(0.00)    0.00(0.00)    0.92(0.00)    0.00(0.00)    0.17(0.00) # IMPURE MDMA + STIMULANT
         1             2        0.50     17  29       0.65(0.00)    0.01(0.00)    0.00(0.00)    0.00(0.00)    0.00(0.00)    0.76(0.00)    0.00(0.00)    0.11(0.00) # IMPURE MDMA + STIMULANT
         1             1        1.00     19   0       0.00(0.00)    0.00(0.00)    0.00(0.00)    0.00(0.00)    0.00(0.00)    0.38(0.00)    0.92(0.00)    0.00(0.00) # STIMULANT + DEPRESSANT
         1             1        1.00      5  24       0.98(0.00)    0.20(0.00)    0.00(0.00)    0.00(0.00)    0.00(0.00)    0.00(0.00)    0.00(0.00)    0.00(0.00) # MDMA + ENACTOGEN
