#Activations    Cluster Size   Act/Size   i   j       MDMA          Enactogen     Psychedelic   Cannabinoid   Dissociative  Stimulant     Depressant    Other
        77            71        1.08     13  27       0.00(0.01)    0.00(0.00)    0.00(0.00)    0.00(0.00)    0.00(0.00)    0.99(0.01)    0.00(0.00)    0.05(0.10) # PURE Stimulant
        70             3       23.33      0   0       0.00(0.00)    0.00(0.00)    0.00(0.00)    0.00(0.00)    0.00(0.00)    0.00(0.00)    0.00(0.00)    1.00(0.00) # PURE OTHER
        46           135        0.34      6  10       0.99(0.01)    0.01(0.04)    0.00(0.00)    0.00(0.00)    0.00(0.00)    0.06(0.09)    0.00(0.00)    0.01(0.02) # PURE MDMA
        36            19        1.89     18   9       0.00(0.01)    0.00(0.00)    1.00(0.00)    0.00(0.00)    0.00(0.00)    0.00(0.02)    0.00(0.00)    0.01(0.04) # PURE PSYCHEDELIC
        18             5        3.60     19   1       0.00(0.00)    1.00(0.00)    0.00(0.00)    0.00(0.00)    0.00(0.00)    0.00(0.00)    0.00(0.00)    0.00(0.00) # PURE ENACTOGEN
         4            15        0.27      1  22       0.74(0.09)    0.00(0.00)    0.00(0.00)    0.00(0.00)    0.00(0.00)    0.66(0.10)    0.00(0.00)    0.00(0.00) # MDMA + STIMULANT
         3             5        0.60     15  20       0.00(0.00)    0.00(0.00)    0.00(0.00)    0.00(0.00)    0.00(0.00)    0.85(0.02)    0.00(0.00)    0.52(0.04) # IMPURE STIMULANT
         3             5        0.60     13   0       0.86(0.04)    0.51(0.06)    0.00(0.00)    0.00(0.00)    0.00(0.00)    0.00(0.00)    0.00(0.00)    0.00(0.00) # MDMA + ENACTOGEN
         2             6        0.33      8  23       0.65(0.03)    0.00(0.00)    0.00(0.00)    0.00(0.00)    0.00(0.00)    0.76(0.02)    0.00(0.00)    0.00(0.00) 
         1             4        0.25     19  19       0.00(0.00)    0.00(0.00)    0.00(0.00)    0.00(0.00)    0.00(0.00)    0.69(0.00)    0.00(0.00)    0.72(0.00) 
         1             3        0.33      0  28       0.40(0.00)    0.00(0.00)    0.00(0.00)    0.00(0.00)    0.00(0.00)    0.92(0.00)    0.00(0.00)    0.00(0.00) 
         1             1        1.00     16  13       0.00(0.00)    0.00(0.00)    0.97(0.00)    0.00(0.00)    0.00(0.00)    0.14(0.00)    0.00(0.00)    0.18(0.00) 
         1             1        1.00     14  16       0.00(0.00)    0.00(0.00)    0.89(0.00)    0.00(0.00)    0.00(0.00)    0.45(0.00)    0.00(0.00)    0.00(0.00) 
         1             1        1.00     13  13       0.16(0.00)    0.00(0.00)    0.95(0.00)    0.00(0.00)    0.00(0.00)    0.27(0.00)    0.00(0.00)    0.00(0.00) 
         1             1        1.00     11  20       0.07(0.00)    0.00(0.00)    0.72(0.00)    0.00(0.00)    0.00(0.00)    0.69(0.00)    0.00(0.00)    0.00(0.00) 
         1             1        1.00      0  12       0.00(0.00)    0.00(0.00)    0.00(0.00)    0.00(0.00)    0.00(0.00)    0.00(0.00)    1.00(0.00)    0.00(0.00) 
         1             1        1.00      0   7       0.80(0.00)    0.00(0.00)    0.00(0.00)    0.00(0.00)    0.00(0.00)    0.08(0.00)    0.00(0.00)    0.60(0.00) 
