       348           722        0.48     78  88    -0.01(0.16) -0.55(0.07)  0.44(0.07)  0.03(0.09)  0.00(0.03)  0.01(0.04)  0.00(0.00)  0.00(0.00)  0.67(0.08)  0.00(0.01)  0.02(0.05) 
       216           498        0.43     10  12    -0.12(0.21) -0.54(0.06)  0.49(0.07)  0.58(0.10)  0.03(0.09)  0.00(0.02)  0.00(0.00)  0.00(0.00)  0.11(0.13) -0.00(0.00)  0.05(0.09) 
       212           738        0.29     24  48    -0.01(0.18) -0.52(0.07)  0.45(0.08)  0.01(0.04)  0.69(0.05)  0.00(0.01)  0.00(0.00)  0.00(0.02)  0.01(0.04) -0.00(0.00)  0.01(0.03) 
       143           576        0.25     65  60    -0.06(0.16) -0.54(0.08)  0.47(0.08)  0.02(0.07)  0.02(0.08)  0.02(0.06)  0.00(0.00)  0.00(0.01)  0.06(0.13)  0.00(0.01)  0.63(0.13) 
        86            82        1.05     98  89     0.48(0.03)  0.07(0.04)  0.54(0.03)  0.00(0.01) -0.00(0.00) -0.00(0.00) -0.00(0.00)  0.00(0.00)  0.66(0.08)  0.00(0.00)  0.07(0.12) 
        71           331        0.21     83  38     0.49(0.04)  0.09(0.04)  0.56(0.04)  0.61(0.11)  0.03(0.07)  0.00(0.00) -0.00(0.00) -0.00(0.00)  0.11(0.15) -0.00(0.00)  0.01(0.02) 
        71           237        0.30     35  15     0.50(0.05)  0.02(0.08)  0.49(0.04)  0.00(0.02)  0.00(0.00)  0.00(0.00) -0.00(0.00) -0.00(0.00)  0.00(0.00)  0.00(0.00)  0.71(0.01) 
        43           170        0.25     33  71     0.48(0.03)  0.08(0.03)  0.54(0.03)  0.00(0.02)  0.00(0.00)  0.67(0.08) -0.00(0.00)  0.00(0.00)  0.04(0.09) -0.00(0.00)  0.02(0.06) 
        22           126        0.17     89  64    -0.00(0.16) -0.53(0.08)  0.45(0.07)  0.00(0.00)  0.00(0.00)  0.00(0.00) -0.00(0.00)  0.00(0.00)  0.03(0.07)  0.69(0.04)  0.00(0.00) 
        20            88        0.23     24  28     0.48(0.03)  0.06(0.05)  0.52(0.02)  0.00(0.00)  0.70(0.02)  0.00(0.00) -0.00(0.00) -0.00(0.00)  0.01(0.03)  0.00(0.00)  0.00(0.00) 
        15            45        0.33     25  11     0.02(0.18) -0.50(0.06)  0.47(0.04)  0.00(0.00)  0.00(0.00)  0.70(0.01)  0.00(0.00)  0.00(0.00)  0.01(0.02) -0.00(0.00)  0.00(0.00) 
        14           137        0.10     75  18     0.03(0.10) -0.68(0.04)  0.41(0.08)  0.01(0.03)  0.41(0.14) -0.00(0.00) -0.00(0.00)  0.00(0.00)  0.00(0.01) -0.00(0.00)  0.38(0.14) 
        11            54        0.20     15  63    -0.29(0.01) -0.50(0.06)  0.56(0.06)  0.00(0.00)  0.44(0.13)  0.00(0.00)  0.00(0.00) -0.00(0.00)  0.35(0.13) -0.00(0.00)  0.01(0.04) 
         8            82        0.10     28  88     0.00(0.14) -0.53(0.09)  0.44(0.08) -0.00(0.00)  0.00(0.00) -0.00(0.00) -0.00(0.00)  0.70(0.01)  0.00(0.01)  0.00(0.00)  0.00(0.00) 
         8            21        0.38     28   1     0.13(0.07) -0.59(0.03)  0.54(0.04)  0.00(0.00)  0.00(0.00)  0.40(0.05)  0.00(0.00)  0.00(0.00)  0.41(0.07)  0.00(0.00)  0.01(0.03) 
         4            38        0.11     58  28    -0.50(0.06)  0.29(0.15) -0.43(0.08) -0.00(0.00)  0.65(0.07)  0.00(0.00) -0.00(0.00)  0.00(0.00)  0.09(0.11) -0.00(0.00)  0.00(0.00) 
         4            14        0.29     83  54     0.17(0.00) -0.61(0.01)  0.56(0.02)  0.00(0.00)  0.02(0.04)  0.10(0.10)  0.00(0.00)  0.00(0.00)  0.39(0.03)  0.00(0.00)  0.33(0.08) 
         3            10        0.30     13  33     0.55(0.01)  0.08(0.00)  0.61(0.01)  0.06(0.08)  0.33(0.08) -0.00(0.00)  0.00(0.00)  0.00(0.00)  0.44(0.01) -0.00(0.00) -0.00(0.00) 
         3             9        0.33     55  48    -0.62(0.01) -0.26(0.02)  0.25(0.00)  0.00(0.00)  0.00(0.00)  0.02(0.03) -0.00(0.00) -0.00(0.00)  0.00(0.00)  0.00(0.00)  0.69(0.02) 
         3             8        0.38     83  75     0.01(0.08) -0.65(0.04)  0.47(0.07)  0.00(0.00) -0.00(0.00) -0.00(0.00) -0.00(0.00)  0.34(0.04)  0.48(0.04)  0.00(0.00)  0.00(0.00) 
         3             7        0.43     57  91    -0.61(0.00) -0.25(0.00)  0.26(0.00) -0.00(0.00)  0.00(0.00)  0.00(0.00)  0.00(0.00)  0.00(0.00)  0.71(0.00) -0.00(0.00)  0.00(0.00) 
         2            24        0.08     18  92    -0.49(0.01)  0.34(0.00) -0.46(0.01) -0.00(0.00) -0.00(0.00) -0.00(0.00)  0.00(0.00)  0.65(0.02)  0.10(0.03) -0.00(0.00) -0.00(0.00) 
         2            21        0.10      2  98    -0.02(0.15)  0.66(0.02)  0.14(0.13)  0.00(0.00) -0.00(0.00) -0.00(0.00) -0.00(0.00) -0.00(0.00)  0.71(0.00) -0.00(0.00)  0.00(0.00) 
         2            18        0.11     94  24     0.36(0.11) -0.49(0.04) -0.34(0.07) -0.00(0.00)  0.00(0.00) -0.00(0.00)  0.00(0.00)  0.00(0.00)  0.71(0.00) -0.00(0.00) -0.00(0.00) 
